review,rating,source,date,bank
good app,5,Google Play,2025-11-08 00:00:00,CBE
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,Google Play,2025-11-08 00:00:00,CBE
Good !,5,Google Play,2025-11-08 00:00:00,CBE
i like it,5,Google Play,2025-11-08 00:00:00,CBE
Very nice app,5,Google Play,2025-11-08 00:00:00,CBE
the app is not functional this week.,4,Google Play,2025-11-08 00:00:00,CBE
good,5,Google Play,2025-11-07 00:00:00,CBE
very updated bank,5,Google Play,2025-11-06 00:00:00,CBE
tankyu,5,Google Play,2025-11-05 00:00:00,CBE
nice,5,Google Play,2025-11-05 00:00:00,CBE
Numbers 2 and 3 don't write during pin verification.,5,Google Play,2025-11-05 00:00:00,CBE
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,Google Play,2025-11-05 00:00:00,CBE
loved it,5,Google Play,2025-11-05 00:00:00,CBE
Ok,1,Google Play,2025-11-05 00:00:00,CBE
this app is not working on my phone,5,Google Play,2025-11-03 00:00:00,CBE
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,Google Play,2025-11-03 00:00:00,CBE
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,Google Play,2025-11-03 00:00:00,CBE
nice,5,Google Play,2025-11-02 00:00:00,CBE
wow 😘😘😘,4,Google Play,2025-11-02 00:00:00,CBE
mobile banking broblem,5,Google Play,2025-11-01 00:00:00,CBE
good job,5,Google Play,2025-11-01 00:00:00,CBE
good,3,Google Play,2025-11-01 00:00:00,CBE
it is a good and clear apps to use,4,Google Play,2025-10-31 00:00:00,CBE
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,Google Play,2025-10-31 00:00:00,CBE
I love this app b/c every option in the app very clear and supportive.,5,Google Play,2025-10-30 00:00:00,CBE
niiceh,5,Google Play,2025-10-29 00:00:00,CBE
the app is good but their is no dark mode you have to add it,3,Google Play,2025-10-29 00:00:00,CBE
🤮,1,Google Play,2025-10-29 00:00:00,CBE
abdulakim abrahim elemoo,5,Google Play,2025-10-29 00:00:00,CBE
good app,5,Google Play,2025-10-28 00:00:00,CBE
strong,5,Google Play,2025-10-28 00:00:00,CBE
good,5,Google Play,2025-10-28 00:00:00,CBE
best,5,Google Play,2025-10-28 00:00:00,CBE
Abebaw Zenebe,5,Google Play,2025-10-28 00:00:00,CBE
good I love it keep it up but if we had a new update that will be fire Soo good,5,Google Play,2025-10-27 00:00:00,CBE
good,5,Google Play,2025-10-27 00:00:00,CBE
Cbe,5,Google Play,2025-10-27 00:00:00,CBE
Active and granted system,5,Google Play,2025-10-27 00:00:00,CBE
fast app,4,Google Play,2025-10-27 00:00:00,CBE
cool 😎,5,Google Play,2025-10-27 00:00:00,CBE
Galaxy A10s,3,Google Play,2025-10-26 00:00:00,CBE
the best apps,5,Google Play,2025-10-26 00:00:00,CBE
arif app new,5,Google Play,2025-10-26 00:00:00,CBE
laga Bari biranch,5,Google Play,2025-10-26 00:00:00,CBE
ነነሠነሠሠነሠሠሠሠነየነ,5,Google Play,2025-10-26 00:00:00,CBE
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,Google Play,2025-10-25 00:00:00,CBE
Attractive,5,Google Play,2025-10-25 00:00:00,CBE
mite,5,Google Play,2025-10-24 00:00:00,CBE
useful,5,Google Play,2025-10-24 00:00:00,CBE
nice,4,Google Play,2025-10-23 00:00:00,CBE
"not good, not bad!",3,Google Play,2025-10-23 00:00:00,CBE
very good,5,Google Play,2025-10-23 00:00:00,CBE
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,Google Play,2025-10-22 00:00:00,CBE
good job,5,Google Play,2025-10-22 00:00:00,CBE
imp,5,Google Play,2025-10-22 00:00:00,CBE
super fast app,5,Google Play,2025-10-21 00:00:00,CBE
good app,4,Google Play,2025-10-20 00:00:00,CBE
useful,5,Google Play,2025-10-20 00:00:00,CBE
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,Google Play,2025-10-19 00:00:00,CBE
cbe,4,Google Play,2025-10-18 00:00:00,CBE
"it says ""ti is work any more in your device"" what can i do??",1,Google Play,2025-10-18 00:00:00,CBE
blah blah blah,5,Google Play,2025-10-18 00:00:00,CBE
good,5,Google Play,2025-10-17 00:00:00,CBE
bad ግዴታ መሆንሁ,1,Google Play,2025-10-17 00:00:00,CBE
best,5,Google Play,2025-10-17 00:00:00,CBE
CBE no.1,5,Google Play,2025-10-17 00:00:00,CBE
good,5,Google Play,2025-10-17 00:00:00,CBE
good,5,Google Play,2025-10-16 00:00:00,CBE
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,Google Play,2025-10-16 00:00:00,CBE
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,Google Play,2025-10-16 00:00:00,CBE
gooof,5,Google Play,2025-10-16 00:00:00,CBE
