review,rating,source,date,bank
"need alot of connection, chooses device, very lug even when there is connection",1,Google Play,2025-09-17 00:00:00,BoA
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,Google Play,2025-09-15 00:00:00,BoA
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,Google Play,2025-09-15 00:00:00,BoA
none,5,Google Play,2025-09-14 00:00:00,BoA
good,2,Google Play,2025-09-13 00:00:00,BoA
good,5,Google Play,2025-09-12 00:00:00,BoA
very good app i ever used,5,Google Play,2025-09-12 00:00:00,BoA
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,Google Play,2025-09-11 00:00:00,BoA
zedo,5,Google Play,2025-09-11 00:00:00,BoA
please open my mobile app,5,Google Play,2025-09-10 00:00:00,BoA
it doesn't open,1,Google Play,2025-09-10 00:00:00,BoA
Very Good,5,Google Play,2025-09-09 00:00:00,BoA
masha alla,5,Google Play,2025-09-08 00:00:00,BoA
Best banking transaction application in Ethiopia !,5,Google Play,2025-09-05 00:00:00,BoA
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,Google Play,2025-09-04 00:00:00,BoA
tamaam kamal,1,Google Play,2025-09-04 00:00:00,BoA
በጣም ሐሪፍ,5,Google Play,2025-09-03 00:00:00,BoA
great 👍,5,Google Play,2025-09-02 00:00:00,BoA
goof,4,Google Play,2025-09-01 00:00:00,BoA
absiniya banki,5,Google Play,2025-08-29 00:00:00,BoA
has issue after installation and i think it doesn't work with tecno common 30,1,Google Play,2025-08-26 00:00:00,BoA
One of the best in this business,5,Google Play,2025-08-25 00:00:00,BoA
Excellent,5,Google Play,2025-08-20 00:00:00,BoA
besat🥰,5,Google Play,2025-08-19 00:00:00,BoA
unlimited experience,5,Google Play,2025-08-18 00:00:00,BoA
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,Google Play,2025-08-17 00:00:00,BoA
very nice mobile banking app my favourite,5,Google Play,2025-08-16 00:00:00,BoA
"it almost never boots up!!! and even if it did, it crashes immediately",1,Google Play,2025-08-15 00:00:00,BoA
best apps,5,Google Play,2025-08-15 00:00:00,BoA
the worst app ever to exist in a bank history,1,Google Play,2025-08-15 00:00:00,BoA
thank you,5,Google Play,2025-08-14 00:00:00,BoA
Best mobile app in the country,5,Google Play,2025-08-14 00:00:00,BoA
not fast,2,Google Play,2025-08-12 00:00:00,BoA
keeps freezing at the front page.,1,Google Play,2025-08-10 00:00:00,BoA
it is not working on redminote 11 pro+ pls fix it,1,Google Play,2025-08-08 00:00:00,BoA
abseniya bank app,5,Google Play,2025-08-08 00:00:00,BoA
good,5,Google Play,2025-08-05 00:00:00,BoA
yes goode app,5,Google Play,2025-08-03 00:00:00,BoA
Great App,5,Google Play,2025-08-02 00:00:00,BoA
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,Google Play,2025-08-02 00:00:00,BoA
ረጀብነሱ,1,Google Play,2025-07-31 00:00:00,BoA
The Worst Mobile Banking App.,1,Google Play,2025-07-31 00:00:00,BoA
giod,5,Google Play,2025-07-30 00:00:00,BoA
best bank in ethiopia,5,Google Play,2025-07-29 00:00:00,BoA
waqayyoo,5,Google Play,2025-07-28 00:00:00,BoA
please is not working,2,Google Play,2025-07-27 00:00:00,BoA
nothing when I need to install the Apk it say that re-up date,5,Google Play,2025-07-25 00:00:00,BoA
I can log in from any where,5,Google Play,2025-07-23 00:00:00,BoA
😇,3,Google Play,2025-07-21 00:00:00,BoA
no proplem,5,Google Play,2025-07-20 00:00:00,BoA
👍👍👍,5,Google Play,2025-07-20 00:00:00,BoA
