review,rating,source,date,bank
ብዙ ነጉር ይቀረዋል ወደ አፑ ስገባ በጣም ይዘገያል ባጭሩ ቀርፋፋ ነው,4,Google Play,2025-11-02 00:00:00,Dashen
"I just updated my app to the latest version and I couldn't even see my balance, send money or do anything. It says service is unavailable and it will be fixed soon.",5,Google Play,2025-11-01 00:00:00,Dashen
it's too slow,1,Google Play,2025-11-01 00:00:00,Dashen
"Before the recent update, this app was great. Now, the home page is cluttered with promotions and banners, which really hurts the experience. I think the app stopped being banking app and started only to promote b/c 95% of the app is only ads, also full of bugs",1,Google Play,2025-11-01 00:00:00,Dashen
"This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank",1,Google Play,2025-11-01 00:00:00,Dashen
Nice app,5,Google Play,2025-11-01 00:00:00,Dashen
The worst app ever. Extremely unreliable. Such a shame for a big bank.,1,Google Play,2025-10-31 00:00:00,Dashen
app is too slow not opening fast,1,Google Play,2025-10-31 00:00:00,Dashen
good,5,Google Play,2025-10-30 00:00:00,Dashen
"it's seems to have some improvements, I don't know what's going on with this app sometimes get collapseed. This is not expected from Dashen bank, which is amongst from famous and greatest banks.",1,Google Play,2025-10-30 00:00:00,Dashen
very nise good,5,Google Play,2025-10-30 00:00:00,Dashen
very interesting,5,Google Play,2025-10-30 00:00:00,Dashen
what your emplyees tell as about the app when they came to our store and what actually the app is different,1,Google Play,2025-10-30 00:00:00,Dashen
Excellent promotion,5,Google Play,2025-10-30 00:00:00,Dashen
viry good,5,Google Play,2025-10-29 00:00:00,Dashen
"Dashen Bank Super App is incredibly convenient! Easy to use, fast, and reliable – a great app to manage everything in one place.",5,Google Play,2025-10-29 00:00:00,Dashen
it is the worst app ever istg 🤮🤮🤮,1,Google Play,2025-10-29 00:00:00,Dashen
"Dashen Super App is a game-changer with its sleek, user-friendly interface. Lightning-fast responses and seamless navigation make every task a breeze. Love the organized layout and clear features that save time daily. Fantastic work—highly recommended for effortless banking!",5,Google Play,2025-10-28 00:00:00,Dashen
"The design is clean and modern, and everything works smoothly without bugs. I love how reliable the app is it makes banking so convenient.",5,Google Play,2025-10-28 00:00:00,Dashen
"A true banking super app! The Dashen Super App combines great design, security, and an impressive range of features. Highly recommended for anyone looking for a complete digital banking experience.",5,Google Play,2025-10-28 00:00:00,Dashen
"​I appreciate that this app allowed me to access multiple services in one centralized place. Thank you, Dashen Bank!",5,Google Play,2025-10-28 00:00:00,Dashen
"This app makes my day-to-day payments so easy. Everything works perfectly, and it saves me a lot of time.",5,Google Play,2025-10-28 00:00:00,Dashen
It’s impressive how consistently the app is improving. I’ve been using it for months and they have improved a lot in terms of not only beauty but also performance wise.,5,Google Play,2025-10-28 00:00:00,Dashen
This app has replaced several others for me. It has everything I need in one place.,5,Google Play,2025-10-28 00:00:00,Dashen
"The app has evolved impressively over time. The latest release adds dark and light modes that enhance usability and design. It’s intuitive, modern, and clearly built with the user in mind — setting a new benchmark for digital banking.",5,Google Play,2025-10-28 00:00:00,Dashen
"Dashen superapp just keeps improving. The new theme options are beautiful, and the overall experience is faster and smoother than ever",5,Google Play,2025-10-28 00:00:00,Dashen
I have been using this app for months and its easy to use and is user friendly thanks Dashen bank.,5,Google Play,2025-10-28 00:00:00,Dashen
"Finally, banking made simple! Everything I need is in one super app. A true game changer for managing my finances on the go.",5,Google Play,2025-10-28 00:00:00,Dashen
"I’ve been using the the App, and it’s been working really well for my daily transactions. Good work 👌",5,Google Play,2025-10-28 00:00:00,Dashen
"I appreciate how secure this app feels. Every transaction comes with confirmation, and I always get alerts immediately.",5,Google Play,2025-10-28 00:00:00,Dashen
I love the new dark theme it gives the app modern feel n make it more comfortable to use,5,Google Play,2025-10-28 00:00:00,Dashen
"This is amazing app, as it name ,truly supper.",5,Google Play,2025-10-28 00:00:00,Dashen
This is one of the most user friendly and impressive apps I have encountered in the banking sector,5,Google Play,2025-10-28 00:00:00,Dashen
"Amazing UI and UX, the dark mode looks absolutely awesome!",5,Google Play,2025-10-28 00:00:00,Dashen
The updated design looks amazing. I really appreciate being able to switch between dark and light mode it’s a small change that makes a big difference!,5,Google Play,2025-10-28 00:00:00,Dashen
Astonishing interface with ease of access and complete performance,5,Google Play,2025-10-28 00:00:00,Dashen
"I rarely leave reviews, but this app truly deserves one. It’s efficient, secure, and makes financial tasks effortless. Definitely a 5-star experience",5,Google Play,2025-10-28 00:00:00,Dashen
stunning UI with reliable service!,5,Google Play,2025-10-28 00:00:00,Dashen
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,Google Play,2025-10-27 00:00:00,Dashen
"The UI is impressive, but adding an ATM withdrawal feature for cardless cash access would enhance functionality. This may require updates to the ATM system as well. Please consider this, dev team.",4,Google Play,2025-10-22 00:00:00,Dashen
convinent,5,Google Play,2025-10-22 00:00:00,Dashen
Good,4,Google Play,2025-10-21 00:00:00,Dashen
it is Excellent April jest continue more abeaten.....,4,Google Play,2025-10-19 00:00:00,Dashen
I like it,5,Google Play,2025-10-18 00:00:00,Dashen
abdrug bentahuuuu,3,Google Play,2025-10-17 00:00:00,Dashen
"Dashen SuperApp is the worst app for me because it consistently fails during transfers. When I try to send money, the transaction freezes for extended periods—sometimes a full day, and often two or three days or more. Crucially, the funds are neither delivered to the recipient nor immediately refunded to my account, which is incredibly frustrating and makes me feel like I've lost my money. The app urgently needs a technical update to ensure transactions process smoothly and reliably.",1,Google Play,2025-10-14 00:00:00,Dashen
Best application,5,Google Play,2025-10-14 00:00:00,Dashen
easy,5,Google Play,2025-10-14 00:00:00,Dashen
lmo,5,Google Play,2025-10-13 00:00:00,Dashen
meseret birara,5,Google Play,2025-10-12 00:00:00,Dashen
it doesn't let me open my account,1,Google Play,2025-10-12 00:00:00,Dashen
very good,1,Google Play,2025-10-11 00:00:00,Dashen
it is the best,5,Google Play,2025-10-11 00:00:00,Dashen
nice and best,5,Google Play,2025-10-10 00:00:00,Dashen
good,5,Google Play,2025-10-10 00:00:00,Dashen
Finish the app development fully before you give the final result. It's is very inconvenient and not that reliable at the moment.,1,Google Play,2025-10-08 00:00:00,Dashen
hayelu Beranu Bashre,5,Google Play,2025-10-07 00:00:00,Dashen
👎👎👎👎👎👎👎👎 connection not fast,5,Google Play,2025-10-07 00:00:00,Dashen
good,5,Google Play,2025-10-06 00:00:00,Dashen
"@Shewangizaw L. As a heavy user of the app , the issue you raised around resetting pass pin concerned me and gave it a try and found it to be safe. Basically the app will do two things: verifies one using an otp and then requires an in-person visit to bank's physical branch for final verification after resetting the password. Therefore, safe to use! I wish ""i""nformational tip was added around the reset button. Could not attach screenshot.",4,Google Play,2025-10-06 00:00:00,Dashen
perfect,5,Google Play,2025-10-06 00:00:00,Dashen
for dashen bankk it is best app so why your bank onlyu one one app for mobile banking that means superr app,5,Google Play,2025-10-05 00:00:00,Dashen
wow,5,Google Play,2025-10-04 00:00:00,Dashen
tadesa melka tulluu,1,Google Play,2025-10-04 00:00:00,Dashen
I can't open virtual account.I have been trying it for about 3 days still no resolve.,2,Google Play,2025-10-04 00:00:00,Dashen
App is passive when compare to Amole it takes 3-5 seconds to open and i cannot refresh transactions what i did.,1,Google Play,2025-10-03 00:00:00,Dashen
withdraw,1,Google Play,2025-10-02 00:00:00,Dashen
It takes gazillion years to open 😶,3,Google Play,2025-10-02 00:00:00,Dashen
